K,poly_degree,window,correlation,n_features,peak_lag,peak_weight,weight_entropy
66,2,60,0.8827062235190863,143,5,1.0,-1.000000082690371e-10
22,2,60,0.886834703798009,143,2,0.9466617831274154,0.2082295105161997
66,3,60,0.901838302148413,143,5,1.0,-9.999995377573693e-11
44,2,60,0.9021015562151555,143,5,1.0,-1.0000000272018913e-10
44,2,84,0.9042462225336766,119,5,1.0,-1.000000082686415e-10
66,2,84,0.9042493646257852,119,5,1.0,-1.0000000826690645e-10
22,2,84,0.9042536905909282,119,5,1.0,-1.0000000826644946e-10
44,3,60,0.904880334105979,143,4,1.0,-9.999885773604546e-11
66,3,84,0.9073426567961284,119,4,1.0,-1.0000000826889677e-10
44,2,36,0.9075294741759601,167,5,0.5927285755314404,0.6758500401602312
22,2,36,0.9256418336099775,167,2,1.0,-1.000000082689573e-10
44,3,84,0.9319461681457079,119,4,0.539596973005454,0.6900080537348441
22,3,36,0.958639556119418,167,3,0.5923139517229401,0.6760052744983376
66,2,36,0.9603116028115476,167,1,0.761379232943327,0.5494848928835971
44,3,36,0.9643430741620338,167,1,0.7613791512099023,0.5494849877152773
66,3,36,0.9644849265229636,167,1,0.7613791586850548,0.5494849790421897
22,3,60,0.9725359864444285,143,1,1.0,-1.000000082690371e-10
22,3,84,0.9843599439751037,119,1,1.0,-1.000000082690371e-10
22,1,84,0.9988277576071426,119,1,1.0,-1.0000000824711753e-10
44,1,84,0.9988282216693172,119,1,1.0,-1.000000082485722e-10
66,1,84,0.9988282382357192,119,1,1.0,-1.0000000824857216e-10
22,1,60,0.9991786721617674,143,1,1.0,-9.999983637786746e-11
44,1,60,0.9991796520393986,143,1,1.0,-9.999983781934227e-11
66,1,60,0.9991796926045324,143,1,1.0,-9.999983781788095e-11
44,1,36,0.999291559248513,167,1,1.0,-1.000000082678854e-10
66,1,36,0.9992920127022451,167,1,1.0,-1.0000000826788534e-10
22,1,36,0.9992927556252591,167,1,1.0,-1.0000000826781462e-10
