date,SPY,QQQ,XLV,XLP,XLE,TLT,IEF,GLD,VNQ,BIL
2016-07-31,0.33499748,0.043352123,0.032224685,0.022429056,1.9583533e-05,0.33306715,0.22293614,2.6411122e-05,2.4677556e-05,0.010922787
2016-08-31,0.28288305,0.0916936,0.0843313,0.0074090646,3.028739e-05,0.27547133,0.24438913,0.006140325,5.789664e-06,0.007646011
2016-09-30,0.27600256,0.0225499,0.0092572225,0.023198329,0.06993643,0.33185366,0.15297167,0.04026097,0.06861697,0.0053522764
2016-10-31,0.48358607,0.024982307,0.0,1.0781781e-05,0.07050443,0.20701416,0.06959286,0.056808397,0.08375417,0.0037467035
2016-11-30,0.44668746,0.04470799,0.0,0.02854435,0.04950583,0.03557452,2.0323114e-06,0.027854457,0.16502512,0.20209824
2016-12-31,0.37205845,0.13136537,3.4122309e-07,0.026143298,0.19143602,0.032822743,0.022064993,0.055477347,0.007939407,0.16069204
2017-01-31,0.40879616,0.105517484,0.012968318,0.0940065,0.12241669,0.01958322,0.0,0.23542634,0.0,0.0012852842
2017-02-28,0.21211278,0.10454941,9.092322e-06,0.13497147,0.28946933,5.1491793e-06,0.038566437,0.21940678,9.815154e-06,0.00089974
2017-03-31,0.3966585,0.022760047,5.601542e-06,0.15028475,0.09539121,1.1228457e-05,5.064499e-06,0.2801003,0.05415343,0.0006298925
2017-04-30,0.10306853,0.0499297,9.577097e-06,0.31566536,0.06479994,1.3944276e-05,1.1603451e-05,0.32231236,0.14374806,0.0004410348
2017-05-31,0.05690197,0.04974695,4.133689e-08,0.29672402,0.103332244,9.519239e-08,1.2048089e-06,0.3185683,0.1744164,0.0003087916
2017-06-30,0.26287618,0.019874593,0.0,0.17607664,0.25474265,2.1179007e-06,1.2584839e-05,0.23993465,0.046264343,0.00021621991
2017-07-31,0.3356732,0.0,0.0,0.33020186,0.09419675,7.268455e-08,1.1645599e-06,0.23561879,0.004156779,0.00015141476
2017-08-31,0.29232877,4.5759716e-06,2.0168088e-06,0.27078336,0.26034513,3.903704e-06,0.0,0.17642215,3.9777838e-06,0.000106084604
2017-09-30,0.3959478,0.0019801694,3.6266424e-06,0.24585544,0.14676373,3.9433494e-06,1.34221345e-05,0.20934227,1.5212619e-05,7.435023e-05
2017-10-31,0.35257837,0.0,9.431677e-06,0.18845257,0.41276267,0.0,3.9394028e-05,0.04607142,3.4097906e-05,5.210902e-05
2017-11-30,0.23210506,1.7205813e-05,9.745765e-06,0.16128823,0.46715257,1.3395905e-05,0.06676386,0.0141575,2.0417703e-07,0.058492284
2017-12-31,0.3034457,3.783824e-06,5.308706e-06,0.31680524,0.27022672,3.2314288e-06,5.122015e-07,0.07573003,1.0544352e-05,0.03376893
