label,corr_thresh,vol_thresh,base_bil,guard_bil,mode,sharpe,return,vol,mdd,calmar,triple,months_guard_active,pct_guard_active
CG_corr-0.20_vol0.16_base0.05_guard0.25_either,-0.2,0.16,0.05,0.25,either,0.8858543172050259,0.0805122353105753,0.09088654166590375,-0.10363243295772387,0.7769019120049001,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.05_guard0.25_corr_only,-0.2,0.16,0.05,0.25,corr_only,0.9137872768635321,0.08412845166645162,0.09206568508505907,-0.1040905233632064,0.8082239280601897,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.05_guard0.30_either,-0.2,0.16,0.05,0.3,either,0.9444586304748706,0.08254646343064549,0.08740082494575904,-0.09979255825325462,0.8271805520924537,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.05_guard0.30_corr_only,-0.2,0.16,0.05,0.3,corr_only,0.9814951738909056,0.08754518603863343,0.08919573765358543,-0.09979255825325462,0.8772716880998312,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.05_guard0.35_either,-0.2,0.16,0.05,0.35,either,0.9593575486914089,0.08088716488972744,0.08431388797644825,-0.0997925582532545,0.8105530743530116,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.05_guard0.35_corr_only,-0.2,0.16,0.05,0.35,corr_only,1.0048834954339096,0.0871298706484735,0.08670644014394001,-0.0997925582532545,0.8731099009141993,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.05_guard0.40_either,-0.2,0.16,0.05,0.4,either,0.9875409242762943,0.08029288762859302,0.08130588379153457,-0.09979255825325453,0.8045979483242122,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.05_guard0.40_corr_only,-0.2,0.16,0.05,0.4,corr_only,1.0438743034892037,0.08789263415432161,0.08419848430077831,-0.09979255825325453,0.8807533917636104,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.08_guard0.25_either,-0.2,0.16,0.08,0.25,either,0.8880499321916856,0.07985716180520848,0.08992417983538713,-0.10378649656692372,0.7694369156561219,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.08_guard0.25_corr_only,-0.2,0.16,0.08,0.25,corr_only,0.9119284105497262,0.08299474871367594,0.09101015798339399,-0.10410193950942487,0.7972449803028119,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.08_guard0.30_either,-0.2,0.16,0.08,0.3,either,0.9470120914234791,0.08179331222147024,0.0863698710525697,-0.09663452147860997,0.8464191778460368,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.08_guard0.30_corr_only,-0.2,0.16,0.08,0.3,corr_only,0.9805839492587514,0.08633536162437162,0.08804484479848436,-0.0969229543495416,0.8907627940540583,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.08_guard0.35_either,-0.2,0.16,0.08,0.35,either,0.963628018492267,0.08019917408038184,0.08322627875211105,-0.09577266049478347,0.8373911058339045,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.08_guard0.35_corr_only,-0.2,0.16,0.08,0.35,corr_only,1.0045909785728013,0.08590121479463761,0.08550864643108326,-0.09577266049478347,0.8969283546144827,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.08_guard0.40_either,-0.2,0.16,0.08,0.4,either,0.9929946723408564,0.0796118180584194,0.08017345941116163,-0.09577266049478331,0.8312582906972268,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.08_guard0.40_corr_only,-0.2,0.16,0.08,0.4,corr_only,1.0449568991585547,0.08668252123376807,0.08295320247521085,-0.09577266049478331,0.9050862823058949,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.10_guard0.25_either,-0.2,0.16,0.1,0.25,either,0.8844436353807482,0.07898874582648742,0.08930896516936683,-0.10385156501899434,0.7605927345634171,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.10_guard0.25_corr_only,-0.2,0.16,0.1,0.25,corr_only,0.9055268616724526,0.08179898619221607,0.0903330311385113,-0.10410895319648825,0.7857055870865799,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.10_guard0.30_either,-0.2,0.16,0.1,0.3,either,0.9439534846679869,0.08092317610049785,0.08572792771559146,-0.09669442503696159,0.836895985157002,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.10_guard0.30_corr_only,-0.2,0.16,0.1,0.3,corr_only,0.9747614955943182,0.08512598337445591,0.08733006356857999,-0.09692940401765941,0.8782266252142327,False,66,0.5789473684210527
