label,corr_thresh,vol_thresh,base_bil,exclude_name,mode,overlay_mod,sharpe,ann_return,vol,mdd,calmar,triple,months_guard_active,pct_guard_active
EX_bonds_corr-0.15_base0.08_corr_only_modnone,-0.15,0.18,0.08,bonds,corr_only,none,0.9013001823157808,0.08550473974793492,0.0948682153022991,-0.09577258324284754,0.8927893229226492,False,53,0.4649122807017544
EX_bonds_corr-0.10_base0.08_corr_only_modnone,-0.1,0.18,0.08,bonds,corr_only,none,0.8889806011028868,0.08425307316047767,0.09477492878466826,-0.09577258324284754,0.8797201694647808,False,47,0.41228070175438597
EX_bonds_corr-0.05_base0.08_corr_only_modnone,-0.05,0.18,0.08,bonds,corr_only,none,0.8760146493803228,0.08290018830174345,0.09463333559591221,-0.09577258324284754,0.8655941553913821,False,42,0.3684210526315789
EX_bonds_corr+0.00_base0.08_corr_only_modnone,0.0,0.18,0.08,bonds,corr_only,none,0.8352655687085576,0.07886590008675184,0.09442014975990215,-0.11533568723612768,0.683794426310471,False,35,0.30701754385964913
EX_bonds_corr+0.05_base0.08_corr_only_modnone,0.05,0.18,0.08,bonds,corr_only,none,0.8440495115147477,0.0803405528840921,0.09518464472529743,-0.10453776887956294,0.7685313523062823,False,31,0.2719298245614035
EX_bonds_corr+0.10_base0.08_corr_only_modnone,0.1,0.18,0.08,bonds,corr_only,none,0.8034721472183427,0.07696116226895719,0.09578572516222279,-0.13348576989178484,0.5765495627837228,False,29,0.2543859649122807
EX_bonds_corr+0.15_base0.08_corr_only_modnone,0.15,0.18,0.08,bonds,corr_only,none,0.8024897795532137,0.07685534545630353,0.09577112059806264,-0.13348576989178487,0.5757568429849049,False,26,0.22807017543859648
EX_bonds_corr+0.20_base0.08_corr_only_modnone,0.2,0.18,0.08,bonds,corr_only,none,0.8051345090335221,0.07716726748694336,0.09584394485782806,-0.13348576989178487,0.5780935866759568,False,19,0.16666666666666666
EX_bonds_corr-0.10_base0.08_corr_only_modcombined,-0.1,0.18,0.08,bonds,corr_only,combined,0.9129729655193459,0.08773945682977678,0.09610301744243442,-0.09620690148740804,0.9119871388983511,False,47,0.41228070175438597
EX_bonds_corr-0.05_base0.08_corr_only_modcombined,-0.05,0.18,0.08,bonds,corr_only,combined,0.9073713954687824,0.08674246724181219,0.09559753335291966,-0.09620690148740804,0.9016241652181823,False,42,0.3684210526315789
EX_bonds_corr+0.00_base0.08_corr_only_modcombined,0.0,0.18,0.08,bonds,corr_only,combined,0.8568828842989527,0.08203130966390829,0.09573223035143374,-0.11695722698789267,0.7013787157624737,False,35,0.30701754385964913
EX_bonds_corr+0.05_base0.08_corr_only_modcombined,0.05,0.18,0.08,bonds,corr_only,combined,0.8743927396079023,0.08415943318783238,0.09624900731171601,-0.10617086871843445,0.7926791426283185,False,31,0.2719298245614035
EX_bonds_corr+0.10_base0.08_corr_only_modcombined,0.1,0.18,0.08,bonds,corr_only,combined,0.8074390670352639,0.07862058819078975,0.09737030495622043,-0.13499570985306042,0.5823932351358896,False,29,0.2543859649122807
EX_bonds_xlp_corr+0.00_base0.08_corr_only_modnone,0.0,0.18,0.08,bonds_xlp,corr_only,none,0.8412427906232501,0.07852525489376465,0.0933443421673638,-0.11312350683668206,0.6941550619283101,False,35,0.30701754385964913
EX_bonds_xlp_corr+0.05_base0.08_corr_only_modnone,0.05,0.18,0.08,bonds_xlp,corr_only,none,0.8585617174891352,0.08081004761812297,0.09412258428485729,-0.09912036558277067,0.8152718883047537,False,31,0.2719298245614035
BASELINE_NO_GUARD,99.0,99.0,0.0,none,corr_only,none,0.8267352318563095,0.08549290317898095,0.10341025746177468,-0.13992575071685776,0.6109876326622493,False,0,0.0
